Rank,Player Name,Player Alliance,Points
460,сиськивмеду,[Bigg] Бароны,553978
461,Мосинка,[OFF] OnlyForFans S119,552195
462,Wagnerrr,[TSR2] TheShardofReality2 S119,551156
463,Elmayo,[P1MP]JU1CE,550153
464,Badkill,[P2MP] NowaPolandia,548930
465,Fury73,[P2MP] NowaPolandia,540783
466,OkSaNa01,[TSR2] TheShardofReality2 S119,535852
467,Shacti,[STLG] SteelLegion S119,534883
468,열혈꿀벌,[GDI] GolgDiggers,533750
469,ИАртур,[SKG] Horizon S119,526094
470,SAMMY,[GDI] GolgDiggers,525023
471,Poorleno,[HDG] HérosdeGuerre,518758
472,kisel007,[Bigg] Бароны,514305
473,Михаил94₽,[CHIL] ChillEmpire S119,514252
474,ZadrotAli,[DOOM] Armageddon S119,512937
475,славный,[OFF] OnlyForFans S119,510132
476,RobboUK,[P2MP] NowaPolandia,509868
477,NM87-1,[OUTS] OUTSIDERS,507548
478,zolotko,[SSSE] Pensioners S119,506680
479,Киттикот,[SKG] Horizon S119,504884
480,1сталкер,[Hard] Revolt,499151
481,Ayazecrin,[Dick] КаолицияДалбаебизма S119,492603
482,Virtz,[HDG] HérosdeGuerre,489978
483,BsZ,[CHIL] ChillEmpire S119,486340
484,Mi11enium,[RTR] RETRO S119,482038
485,Virus,[CLAV] ВОЙНЫ S119,481916
486,PAPER,[0G8b] AbyssTerritory S119,479540
487,Lintark,[KRS] KRATOS,476586
488,ElkaD,[P2MP] NowaPolandia,475109
489,Никсонзомбоёб,[STLG] SteelLegion S119,468822
490,MissMari0506,[SSSE] Pensioners S119,465520
491,ДИМОН555,[DOOM] Armageddon S119,464680
492,PoMX,[WIn] OnlyWin S119,464518
493,Aleksanrus,[OFF] OnlyForFans S119,463298
494,Batakuda,[CHIL] ChillEmpire S119,462950
495,YuristKazan,[STLG] SteelLegion S119,462712
496,Михаалыч,[CHIL] ChillEmpire S119,457184
497,Lisa36,[TSR2] TheShardofReality2 S119,456417
498,Colluk,[TIOX] ПоХуисты,455478
499,Zealotam,[ALIN] RUSalina,453739
500,tropiccc,[ARF2] БесячаяГвардия S119,453729
501,Djeddak,[GDI] GolgDiggers,453564
502,Зордан,[SORI] ВРЕДНЫЕ S119,450906
503,Katundr,[ALIN] RUSalina,441684
504,Nemesice,[KRS] KRATOS,441618
505,Valll26,[GDI] GolgDiggers,438757
506,Ferein,[HDG] HérosdeGuerre,437738
507,КЫТЬ,[SKG] Horizon S119,435328
508,Flying168,[P2MP] NowaPolandia,434132
509,Stalingrados,[CHIL] ChillEmpire S119,433003
510,MiriaFwalk,[OFF] OnlyForFans S119,430509
511,Hugomugo,[GDI] GolgDiggers,429543
512,Svensen003,[DGe] DieGestrandeten,425634
513,ANDR,[STLG] SteelLegion S119,420330
514,comadenig,[WIn] OnlyWin S119,418694
515,ZiGGLar-Khan-28,[P2MP] NowaPolandia,416306
516,Rageroad,[Bigg] Бароны,416272
517,KaryLive,[P1MP]JU1CE,412967
518,Баратрум,[Sold] Soldiers S119,411042
519,就Jexa88过,[OFF] OnlyForFans S119,407248
520,Дмитрий125,[SORI] ВРЕДНЫЕ S119,403804
521,Армагеддончик,[SORI] ВРЕДНЫЕ S119,399608
522,IriskaGets,[DOOM] Armageddon S119,396435
523,Analbrutal,[P1MP]JU1CE,391783
524,VorDe87,[1919] Blackout S119,390525
525,Zaurbek07,[Bigg] Бароны,389913
526,Byrelom,[SORI] ВРЕДНЫЕ S119,389256
527,Jigga14,[DOOM] Armageddon S119,387674
528,Pyata4oK,[415] Воркута S119,387345
529,ArtIsk,[RTR] RETRO S119,386154
530,Dvoron,[0G8b] AbyssTerritory S119,383013
531,БернардПиньятели,[WIn] OnlyWin S119,380920
